ID,BookKey,ImageKey,ImageColumn,State,CityImage,CityColumn,CityTextOCR,CityText,CityTextLBX,CityCoords,CityScore,CityExtent,CityConfidence,NeighborhoodImage,NeighborhoodColumn,NeighborhoodTextOCR,NeighborhoodText,NeighborhoodTextLBX,NeighborhoodCoords,NeighborhoodScore,NeighborhoodExtent,NeighborhoodConfidence,ZipCodeImage,ZipCodeColumn,ZipCodeTextOCR,ZipCodeText,ZipCodeTextLBX,ZipCodeCoords,ZipCodeScore,ZipCodeExtent,ZipCodeConfidence,StreetImage,StreetColumn,StreetTextOCR,StreetText,StreetTextLBX,StreetCoords,StreetScore,StreetExtent,StreetConfidence,CrossImage,CrossColumn,CrossTextOCR,CrossText,CrossTextLBX,CrossCoords,CrossScore,CrossExtent,CrossConfidence,RemaindersXML,Issue,TableSource,ETL
258833192,txabilene1909johnfworleydire,48,1,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,FISHER,FISHER,NULL,"[[371,1791,558,1821]]",[99],"[371,1791,558,1821]",99,NULL,NULL,5th av,5th av,NULL,"[[772,1902,844,1932],[853,1904,912,1932]]","[99,99]","[772,1902,912,1932]",99,NULL,NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0048.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833173,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Chestnut,Chestnut,NULL,"[[1322,650,1516,680]]",[99],"[1322,650,1516,680]",99,"<remainders><remainder><textOCR>begins ss</textOCR><text>begins ss</text><coords>[[1528,650,1665,680],[1673,650,1722,678]]</coords><score>[99,92]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833174,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Sycamore,Sycamore,NULL,"[[1324,934,1532,964]]",[99],"[1324,934,1532,964]",99,"<remainders><remainder><textOCR>begins SS</textOCR><text>begins SS</text><coords>[[1546,932,1683,963],[1691,932,1740,960]]</coords><score>[99,97]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833175,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Elm,Elm,NULL,"[[1326,1216,1418,1246]]",[99],"[1326,1216,1418,1246]",99,"<remainders><remainder><textOCR>begins SS</textOCR><text>begins SS</text><coords>[[1426,1216,1565,1247],[1567,1216,1616,1244]]</coords><score>[99,98]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833176,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Butternut,Butternut,NULL,"[[1327,1441,1538,1472]]",[99],"[1327,1441,1538,1472]",99,"<remainders><remainder><textOCR>begins SS</textOCR><text>begins SS</text><coords>[[1554,1442,1691,1472],[1701,1442,1748,1470]]</coords><score>[99,97]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833177,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Poplar,Poplar,NULL,"[[1330,1612,1470,1644]]",[99],"[1330,1612,1470,1644]",99,"<remainders><remainder><textOCR>begins ss</textOCR><text>begins ss</text><coords>[[1478,1612,1615,1643],[1619,1612,1668,1640]]</coords><score>[99,84]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833178,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Palm,Palm,NULL,"[[1330,1954,1446,1984]]",[99],"[1330,1954,1446,1984]",99,"<remainders><remainder><textOCR>begins ss</textOCR><text>begins ss</text><coords>[[1458,1952,1597,1983],[1605,1952,1654,1980]]</coords><score>[99,90]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833179,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Peach,Peach,NULL,"[[1334,2292,1464,2322]]",[99],"[1334,2292,1464,2322]",99,"<remainders><remainder><textOCR>begins SS</textOCR><text>begins SS</text><coords>[[1476,2292,1615,2323],[1623,2292,1672,2320]]</coords><score>[99,98]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833180,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Vine,Vine,NULL,"[[1334,2576,1434,2606]]",[99],"[1334,2576,1434,2606]",99,"<remainders><remainder><textOCR>begins SS</textOCR><text>begins SS</text><coords>[[1444,2574,1582,2606],[1585,2576,1634,2604]]</coords><score>[99,99]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
258833181,txabilene1909johnfworleydire,47,2,TX,37,NULL,ABILENE,ABILENE,NULL,"[[858,940,1210,1003]]",[99],"[858,940,1210,1003]",99,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1,FIRST S,FIRST S,NULL,"[[406,1428,552,1458],[572,1426,604,1458]]","[99,99]","[406,1426,604,1458]",99,NULL,NULL,Kansas av,Kansas av,NULL,"[[1332,2802,1494,2832],[1503,2802,1562,2830]]","[99,99]","[1332,2802,1562,2832]",99,"<remainders><remainder><textOCR>begins ss</textOCR><text>begins ss</text><coords>[[1573,2799,1715,2831],[1725,2800,1774,2828]]</coords><score>[99,91]</score></remainder></remainders>",NULL,https://lbx-citydir-va.s3.amazonaws.com/extract/TX/1909/txabilene1909johnfworleydire/images/txabilene1909johnfworleydire_0047.xml,03263a5c-c676-11ed-a0f3-6a3a7522f8a6
